"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"12","1014.9","1018.5","1016.9","2022-12-12 21:32","1012.9","2022-12-12 03:54","16.4","17.3","2022-12-12 11:35","15.5","2022-12-12 02:27","14.6","89","84","2022-12-12 16:42","2.4","90","8.4","90","2022-12-12 20:57","1.5","10.0","0.5","2022-12-12 03:58","0.5","2022-12-12 03:58","0.0","0.0","2.08","12.3","-0.5","2","2022-12-12 11:00","10.0"
"13","1017.2","1020.9","1019.7","2022-12-13 23:55","1015.5","2022-12-13 13:02","15.7","16.6","2022-12-13 09:10","14.9","2022-12-13 23:29","14.1","90","82","2022-12-13 09:11","2.9","90","10.7","90","2022-12-13 20:11","8.0","13.3","1.0","2022-12-13 19:25","3.5","2022-12-13 19:25","0.0","0.0","2.10","7.0","-0.1","2","2022-12-13 11:00","10.0"
"14","1019.9","1023.6","1022.9","2022-12-14 08:51","1017.6","2022-12-14 22:47","14.7","15.4","2022-12-14 17:01","14.0","2022-12-14 06:54","13.3","91","88","2022-12-14 00:50","3.2","90","11.7","60","2022-12-14 21:39","2.5","15.0","1.0","2022-12-14 23:21","1.0","2022-12-14 23:21","0.0","0.0","2.77","7.8","-0.1","2","2022-12-14 13:00","10.0"
"15","1015.4","1019.1","1019.3","2022-12-15 07:09","1012.7","2022-12-15 14:33","16.6","19.3","2022-12-15 23:27","14.3","2022-12-15 04:03","15.8","95","92","2022-12-15 03:25","3.0","90","11.1","90","2022-12-15 00:50","16.5","13.6","1.0","2022-12-15 01:52","2.5","2022-12-15 05:27","0.0","0.0","3.27","12.3","-0.1","1","2022-12-15 10:00","9.5"
"16","1014.6","1018.2","1016.9","2022-12-16 21:35","1012.1","2022-12-16 04:12","18.7","20.8","2022-12-16 11:45","17.9","2022-12-16 19:09","18.1","96","81","2022-12-16 11:57","1.0","210","6.4","90","2022-12-16 11:35","10.0","8.8","2.0","2022-12-16 18:27","4.5","2022-12-16 18:19","0.0","0.0","3.02","16.8","-0.4","4","2022-12-16 12:00","9.8"
"17","1022.7","1026.4","1027.2","2022-12-17 20:51","1016.0","2022-12-17 00:21","13.9","18.0","2022-12-17 00:05","11.4","2022-12-17 20:52","11.2","84","64","2022-12-17 23:31","1.8","50","9.9","60","2022-12-17 06:04","12.5","14.7","1.5","2022-12-17 10:08","5.0","2022-12-17 10:08","0.0","0.0","1.93","20.8","-1.9","2","2022-12-17 12:00","10.0"
"18","1024.5","1028.2","1027.5","2022-12-18 09:12","1021.4","2022-12-18 23:54","10.6","12.1","2022-12-18 00:03","9.0","2022-12-18 07:41","2.9","59","49","2022-12-18 08:07","2.4","40","9.3","50","2022-12-18 10:10","T","0.1","T","2022-12-18 00:25","T","2022-12-18 00:25","1.6","15.2","7.26","35.0","1.1","4","2022-12-18 12:00","8.5"
"19","1018.8","1022.5","1021.4","2022-12-19 00:01","1016.8","2022-12-19 14:34","14.8","18.7","2022-12-19 14:18","9.7","2022-12-19 04:16","8.8","68","52","2022-12-19 12:19","2.8","90","13.6","80","2022-12-19 11:35","0.0","0.0","0.0","...","0.0","...","6.7","63.6","13.27","41.3","2.6","6","2022-12-19 12:00","3.5"
"20","1013.9","1017.5","1017.3","2022-12-20 00:01","1010.7","2022-12-20 14:16","19.4","23.2","2022-12-20 13:22","16.5","2022-12-20 00:08","13.0","67","50","2022-12-20 13:24","3.1","90","13.0","110","2022-12-20 11:03","0.0","0.0","0.0","...","0.0","...","9.6","91.1","15.05","43.8","-2.5","6","2022-12-20 12:00","5.3"
"21","1011.6","1015.3","1013.4","2022-12-21 21:01","1009.5","2022-12-21 13:39","15.8","18.4","2022-12-21 09:31","12.6","2022-12-21 23:48","12.6","82","62","2022-12-21 21:29","1.7","170","8.0","350","2022-12-21 10:59","T","4.5","T","2022-12-21 07:03","T","2022-12-21 07:03","0.0","0.0","1.89","12.0","-0.8","2","2022-12-21 12:00","9.8"
"22","1013.7","1017.3","1015.7","2022-12-22 23:27","1011.1","2022-12-22 13:27","14.3","19.7","2022-12-22 13:12","10.4","2022-12-22 04:46","5.5","59","27","2022-12-22 13:57","1.5","160","7.0","50","2022-12-22 15:49","0.0","0.0","0.0","...","0.0","...","9.8","93.0","15.57","37.5","2.7","5","2022-12-22 13:00","1.0"
"23","1017.9","1021.6","1020.4","2022-12-23 21:20","1015.6","2022-12-23 03:28","12.1","15.9","2022-12-23 10:33","9.9","2022-12-23 05:31","5.3","64","49","2022-12-23 11:51","2.1","130","11.0","40","2022-12-23 09:53","0.0","0.0","0.0","...","0.0","...","4.6","43.7","10.89","22.5","1.9","5","2022-12-23 12:00","5.0"
"24","1020.6","1024.4","1022.0","2022-12-24 09:11","1019.1","2022-12-24 14:16","11.7","15.9","2022-12-24 13:06","8.5","2022-12-24 06:04","4.0","61","40","2022-12-24 14:55","1.9","160","7.6","90","2022-12-24 10:21","0.0","0.0","0.0","...","0.0","...","8.2","77.8","14.14","47.5","2.6","5","2022-12-24 12:00","2.8"
"25","1021.3","1025.0","1023.2","2022-12-25 08:52","1019.7","2022-12-25 14:38","12.2","15.8","2022-12-25 13:36","8.3","2022-12-25 05:43","5.0","62","46","2022-12-25 11:31","2.1","80","9.5","90","2022-12-25 14:51","0.0","0.0","0.0","...","0.0","...","5.8","55.0","13.19","36.3","1.2","5","2022-12-25 13:00","5.8"
"26","1020.4","1024.1","1021.4","2022-12-26 08:11","1018.7","2022-12-26 14:41","15.1","19.0","2022-12-26 13:37","10.5","2022-12-26 05:54","9.2","68","57","2022-12-26 11:39","1.7","90","8.9","90","2022-12-26 11:55","0.0","0.0","0.0","...","0.0","...","7.1","67.3","13.18","32.5","2.0","6","2022-12-26 13:00","3.5"
"27","1020.8","1024.4","1022.4","2022-12-27 10:11","1019.3","2022-12-27 13:52","16.5","17.8","2022-12-27 12:20","14.5","2022-12-27 00:09","10.7","69","60","2022-12-27 10:08","2.8","100","12.2","60","2022-12-27 12:11","0.0","0.0","0.0","...","0.0","...","0.0","0.0","4.86","37.5","-1.4","3","2022-12-27 13:00","8.8"
"28","1020.9","1024.5","1023.1","2022-12-28 21:45","1019.0","2022-12-28 13:57","16.9","18.7","2022-12-28 13:12","15.6","2022-12-28 23:59","14.4","85","76","2022-12-28 09:44","2.7","90","10.2","90","2022-12-28 14:47","T","2.0","T","2022-12-28 04:31","T","2022-12-28 04:31","0.2","1.9","6.85","13.5","-0.9","4","2022-12-28 12:00","9.8"
"29","1021.3","1024.9","1022.6","2022-12-29 00:27","1019.2","2022-12-29 13:30","16.4","17.4","2022-12-29 11:57","15.5","2022-12-29 00:07","15.1","92","83","2022-12-29 11:36","2.6","100","10.2","70","2022-12-29 12:28","5.5","15.0","0.5","2022-12-29 04:03","1.5","2022-12-29 06:03","0.0","0.0","3.71","10.5","-0.1","2","2022-12-29 11:00","10.0"
"30","1022.0","1025.7","1023.4","2022-12-30 20:25","1019.7","2022-12-30 13:30","16.5","17.8","2022-12-30 12:01","15.7","2022-12-30 05:02","14.7","89","84","2022-12-30 14:56","2.9","100","10.4","80","2022-12-30 23:32","0.5","1.0","0.5","2022-12-30 21:07","0.5","2022-12-30 21:07","0.0","0.0","6.10","19.0","/","4","2022-12-30 12:00","9.0"
"31","1022.1","1025.8","1023.7","2022-12-31 09:42","1020.8","2022-12-31 14:52","16.1","16.8","2022-12-31 21:43","15.2","2022-12-31 05:10","15.0","93","88","2022-12-31 00:01","2.9","90","12.9","100","2022-12-31 14:12","0.5","9.9","0.5","2022-12-31 18:26","0.5","2022-12-31 18:26","0.0","0.0","2.55","10.3","-0.1","2","2022-12-31 13:00","9.8"
